"VendorID","passenger_count","trip_distance_miles","pickup_longitude","pickup_latitude","RatecodeID","dropoff_longitude","dropoff_latitude","payment_type","total_amount","pickup_hour","pickup_timeOfDay","trip_distance","speed","trip_duration","temp","hum","vis","cond","fog","rain","gasprice","weekday"
"VeriFone Inc.",5,0.38,-73.9576034545899,40.7819900512695,"Standard rate",-73.9557418823242,40.7851600646973,"Cash",4.8,11,"morning",0.6115492,7.77272727272727,176,26.1,34,12,"Clear",0,0,1.167,"Mittwoch"
"Creative Mobile Technologies, LLC",1,0.6,-73.9572296142578,40.7858734130859,"Standard rate",-73.9509124755859,40.7831153869629,"Credit card",7.3,7,"morning",0.965604,5.9504132231405,363,17.8,75,16,"Overcast",0,0,1.297,"Montag"
"Creative Mobile Technologies, LLC",1,1.2,-73.947639465332,40.7904243469238,"Standard rate",-73.9593048095703,40.7745590209961,"Credit card",8,7,"morning",1.931208,26.0240963855422,166,3.9,49,16,"Clear",0,0,1.297,"Sonntag"
"VeriFone Inc.",2,0.89,-73.9865264892578,40.7399711608887,"Standard rate",-73.9786834716797,40.7507209777832,"Cash",6.8,10,"morning",1.4323126,8.8021978021978,364,8.3,86,8,"Light Rain",0,1,1.264,"Dienstag"
"VeriFone Inc.",5,2.36,-73.9546966552734,40.7657089233398,"Standard rate",-73.9858016967774,40.7713394165039,"Cash",11.8,20,"evening",3.7980424,11.6065573770492,732,21.7,51,14,"Clear",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",1,3.5,-73.992561340332,40.7370643615723,"Standard rate",-73.9579544067383,40.7653579711914,"No charge",15.3,7,"morning",5.63269,12.280701754386,1026,22.8,71,14,"Clear",0,0,1.155,"Donnerstag"
"Creative Mobile Technologies, LLC",3,8.4,0,0,"Standard rate",0,0,"Cash",28.3,4,"night",13.518456,21.7710583153348,1389,4.4,58,16,"Overcast",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",2,1.3,-73.9659957885742,40.7899742126465,"Standard rate",-73.9562072753906,40.7820281982422,"Credit card",9.1,7,"morning",2.092142,14.5794392523364,321,22.2,43,14,"Partly Cloudy",0,0,1.167,"Mittwoch"
"Creative Mobile Technologies, LLC",1,0.8,-73.9682693481445,40.7621726989746,"Standard rate",-73.976806640625,40.7524032592773,"Cash",6.8,19,"evening",1.287472,14.8453608247423,194,2.8,48,16,"Clear",0,0,1.284,"Freitag"
"VeriFone Inc.",1,4.31,-73.9654083251953,40.7592086791992,"Standard rate",-73.990608215332,40.7171859741211,"Cash",15.3,15,"afternoon",6.9362554,21.3425034387895,727,3.9,46,16,"Overcast",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",1,9.2,-73.9839324951172,40.7555351257324,"Standard rate",-73.9270553588867,40.8655395507813,"Cash",28.8,0,"night",14.805928,30.5535055350554,1084,6.7,47,16,"Clear",0,0,1.297,"Samstag"
"Creative Mobile Technologies, LLC",1,0.8,-73.9619445800781,40.776008605957,"Standard rate",-73.95166015625,40.7699699401856,"Cash",7.8,14,"afternoon",1.287472,5.59223300970874,515,25.6,76,12,"Mostly Cloudy",0,0,1.133,"Donnerstag"
"Creative Mobile Technologies, LLC",1,4,-73.9849166870117,40.7567100524902,"Standard rate",-73.9423904418945,40.794563293457,"Credit card",18.5,23,"evening",6.43736,17.6904176904177,814,6.7,47,16,"Clear",0,0,1.297,"Samstag"
"Creative Mobile Technologies, LLC",2,1,-73.9799728393555,40.7836265563965,"Standard rate",-73.9669494628906,40.789234161377,"Cash",7.8,16,"afternoon",1.60934,12.3711340206186,291,23.9,84,11,"Scattered Clouds",0,0,1.133,"Donnerstag"
"Creative Mobile Technologies, LLC",1,3.9,-73.9824905395508,40.7725028991699,"Standard rate",-73.9875259399414,40.7286758422852,"Cash",17.8,18,"afternoon",6.276426,10.3235294117647,1360,7.2,56,16,"Mostly Cloudy",0,0,1.297,"Sonntag"
"VeriFone Inc.",1,9.74,-73.9913787841797,40.760009765625,"Standard rate",-73.953742980957,40.6741485595703,"Credit card",39.8,19,"evening",15.6749716,17.4708520179372,2007,8,93,4,"Overcast",0,0,1.167,"Dienstag"
"Creative Mobile Technologies, LLC",1,2.1,-73.9763793945313,40.7506370544434,"Standard rate",-73.9992370605469,40.7416801452637,"Cash",9.8,19,"evening",3.379614,13.8970588235294,544,2.8,48,16,"Clear",0,0,1.284,"Freitag"
"Creative Mobile Technologies, LLC",2,5.8,-73.9449234008789,40.7748336791992,"Standard rate",-73.9806976318359,40.7510185241699,"Credit card",20.76,14,"afternoon",9.334172,13.2739987285442,1573,22.2,61,16,"Scattered Clouds",0,0,1.264,"Montag"
"VeriFone Inc.",2,0.78,-74.0097579956055,40.7224884033203,"Standard rate",-74.0055923461914,40.7154083251953,"Credit card",9.49,8,"morning",1.2552852,6.06479481641469,463,23.9,73,12,"Scattered Clouds",0,0,1.155,"Donnerstag"
"VeriFone Inc.",1,5.42,-73.9910583496094,40.7278861999512,"Standard rate",-73.9479446411133,40.7846183776856,"Cash",20.8,23,"evening",8.7226228,16.0724876441516,1214,6.7,47,16,"Clear",0,0,1.297,"Samstag"
"VeriFone Inc.",1,3.46,-73.970458984375,40.7507705688477,"Standard rate",-73.9476013183594,40.7787246704102,"Credit card",14.8,10,"morning",5.5683164,18.9878048780488,656,22.2,61,16,"Scattered Clouds",0,0,1.297,"Montag"
"Creative Mobile Technologies, LLC",1,3.2,-73.9392242431641,40.8052787780762,"Standard rate",-73.9583282470703,40.7671432495117,"Credit card",14.3,17,"afternoon",5.149888,16,720,3.3,48,16,"Clear",0,0,1.284,"Freitag"
"VeriFone Inc.",1,1.77,-73.9612884521484,40.7806282043457,"Standard rate",-73.9740905761719,40.7591514587402,"Credit card",13,8,"morning",2.8485318,7.0021978021978,910,8.9,77,9,"Light Rain",0,1,1.264,"Dienstag"
"Creative Mobile Technologies, LLC",1,4,-73.9523468017578,40.772087097168,"Standard rate",-73.9741439819336,40.7246742248535,"Cash",16.3,18,"afternoon",6.43736,16.8815943728019,853,21.7,93,6,"Overcast",0,0,1.133,"Donnerstag"
"Creative Mobile Technologies, LLC",1,0.5,-73.9820175170899,40.7281913757324,"Standard rate",-73.9881210327149,40.7228965759277,"Credit card",8.3,0,"night",0.80467,4.20560747663551,428,8.9,44,16,"Clear",0,0,1.297,"Samstag"
"VeriFone Inc.",1,0.86,-73.9836883544922,40.7552909851074,"Standard rate",-73.9752044677734,40.7635536193848,"Cash",5.3,12,"morning",1.3840324,20.64,150,8.3,27,16,"Clear",0,0,1.297,"Sonntag"
"VeriFone Inc.",1,17.59,-73.9876556396484,40.7589454650879,"JFK",-73.7829666137695,40.6439094543457,"Cash",58.34,10,"morning",28.3082906,40.4367816091954,1566,4.4,53,16,"Overcast",0,0,1.284,"Freitag"
"VeriFone Inc.",2,0.55,-73.9573364257813,40.7797966003418,"Standard rate",-73.951042175293,40.7828407287598,"Credit card",6.96,9,"morning",0.885137,6.75767918088737,293,17.8,75,16,"Overcast",0,0,1.297,"Montag"
"VeriFone Inc.",1,1.01,-74.0015716552734,40.7359504699707,"Standard rate",-74.0040435791016,40.7335014343262,"Credit card",6.3,17,"afternoon",1.6254334,13.9310344827586,261,7.2,49,16,"Partly Cloudy",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",1,0.5,-73.996711730957,40.7257118225098,"Standard rate",-74.0026245117188,40.7199974060059,"Cash",5.3,8,"morning",0.80467,7.31707317073171,246,21.1,84,14,"Overcast",0,0,1.133,"Freitag"
"VeriFone Inc.",1,1.68,-74.0021591186524,40.7403602600098,"Standard rate",-73.9850158691406,40.7539138793945,"Credit card",11.16,7,"morning",2.7036912,9.85016286644951,614,10,61,16,"Overcast",0,0,1.264,"Dienstag"
"VeriFone Inc.",1,0.84,-73.9829711914063,40.7765502929688,"Standard rate",-73.9777908325195,40.7866897583008,"Credit card",6.96,11,"morning",1.3518456,13.7454545454545,220,13.9,49,16,"Clear",0,0,1.284,"Samstag"
"VeriFone Inc.",1,0.32,-73.9833602905274,40.7501602172852,"Standard rate",-73.9882736206055,40.7487716674805,"Cash",4.8,23,"evening",0.5149888,8.40875912408759,137,7.2,90,14,"Overcast",0,0,1.167,"Dienstag"
"VeriFone Inc.",1,2.54,-73.9510192871094,40.7789039611816,"Standard rate",-73.9485931396484,40.8057708740234,"Cash",10.8,13,"afternoon",4.0877236,15.24,600,4.4,51,16,"Overcast",0,0,1.284,"Freitag"
"VeriFone Inc.",1,2.22,-73.9817886352539,40.746223449707,"Standard rate",-73.9870376586914,40.7223510742188,"Cash",10.8,22,"evening",3.5727348,14.5045372050817,551,1.7,52,16,"Clear",0,0,1.284,"Freitag"
"VeriFone Inc.",6,0.69,-73.9543228149414,40.7842788696289,"Standard rate",-73.9547348022461,40.7777214050293,"Credit card",7.3,13,"afternoon",1.1104446,7.7625,320,22.2,61,16,"Scattered Clouds",0,0,1.264,"Montag"
"Creative Mobile Technologies, LLC",1,3.6,-73.9737548828125,40.7587776184082,"Standard rate",-73.9533615112305,40.7884941101074,"Cash",14.8,8,"morning",5.793624,16.1797752808989,801,17.8,75,16,"Overcast",0,0,1.297,"Montag"
"Creative Mobile Technologies, LLC",2,0.4,-73.9724426269531,40.7531967163086,"Standard rate",-73.9658355712891,40.7542114257813,"Credit card",8.15,18,"afternoon",0.643736,4.72131147540984,305,25.6,43,12,"Clear",0,0,1.155,"Mittwoch"
"Creative Mobile Technologies, LLC",1,3.7,-74.007682800293,40.724552154541,"Standard rate",-73.9747085571289,40.7597541809082,"Credit card",27.35,14,"afternoon",5.954558,6.57777777777778,2025,25,76,12,"Overcast",0,0,1.133,"Donnerstag"
"VeriFone Inc.",1,1.38,-73.9759292602539,40.7520294189453,"Standard rate",-73.9827575683594,40.7347793579102,"Cash",7.8,8,"morning",2.2208892,12,414,17.8,75,16,"Overcast",0,0,1.297,"Montag"
"Creative Mobile Technologies, LLC",3,1.4,-73.9663772583008,40.7609062194824,"Standard rate",-73.9562149047852,40.7781028747559,"Credit card",11,19,"evening",2.253076,11.25,448,8,93,4,"Overcast",0,0,1.167,"Dienstag"
"VeriFone Inc.",1,0.76,-73.9817886352539,40.7322692871094,"Standard rate",-73.9748992919922,40.7416763305664,"Credit card",5.8,6,"night",1.2230984,26.5631067961165,103,4.4,49,16,"Clear",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",4,2.4,-73.9707336425781,40.7517127990723,"Standard rate",-73.9927215576172,40.7214584350586,"Credit card",12.95,13,"afternoon",3.862416,13.6062992125984,635,9.4,29,16,"Clear",0,0,1.297,"Sonntag"
"Creative Mobile Technologies, LLC",2,0.8,-73.9820938110352,40.7594833374024,"Standard rate",-73.9905548095703,40.7513618469238,"Cash",5.3,10,"morning",1.287472,12.4675324675325,231,4.4,53,16,"Overcast",0,0,1.284,"Freitag"
"VeriFone Inc.",1,1.46,-73.9739151000977,40.7475357055664,"Standard rate",-73.9894866943359,40.7352256774902,"Credit card",11.16,9,"morning",2.3496364,7.98784194528875,658,25,71,12,"Mostly Cloudy",0,0,1.155,"Donnerstag"
"Creative Mobile Technologies, LLC",2,0.8,-73.9548416137695,40.7792510986328,"Standard rate",-73.9542388916016,40.7871932983398,"Credit card",7.3,12,"morning",1.287472,8.97196261682243,321,8.3,86,11,"Light Rain",0,1,1.264,"Dienstag"
