"VendorID","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","total_amount","pickup_hour","speed","temp","hum","vis","fog","rain","gasprice"
NA,5,-73.9576034545899,40.7819900512695,-73.9557418823242,40.7851600646973,4.8,11,7.77272727272727,26.1,34,12,0,0,1.167
NA,1,-73.9572296142578,40.7858734130859,-73.9509124755859,40.7831153869629,7.3,7,5.9504132231405,17.8,75,16,0,0,1.297
NA,1,-73.947639465332,40.7904243469238,-73.9593048095703,40.7745590209961,8,7,26.0240963855422,3.9,49,16,0,0,1.297
NA,2,-73.9865264892578,40.7399711608887,-73.9786834716797,40.7507209777832,6.8,10,8.8021978021978,8.3,86,8,0,1,1.264
NA,5,-73.9546966552734,40.7657089233398,-73.9858016967774,40.7713394165039,11.8,20,11.6065573770492,21.7,51,14,0,0,1.155
NA,1,-73.992561340332,40.7370643615723,-73.9579544067383,40.7653579711914,15.3,7,12.280701754386,22.8,71,14,0,0,1.155
NA,2,-73.9659957885742,40.7899742126465,-73.9562072753906,40.7820281982422,9.1,7,14.5794392523364,22.2,43,14,0,0,1.167
NA,1,-73.9682693481445,40.7621726989746,-73.976806640625,40.7524032592773,6.8,19,14.8453608247423,2.8,48,16,0,0,1.284
NA,1,-73.9654083251953,40.7592086791992,-73.990608215332,40.7171859741211,15.3,15,21.3425034387895,3.9,46,16,0,0,1.284
NA,1,-73.9839324951172,40.7555351257324,-73.9270553588867,40.8655395507813,28.8,0,30.5535055350554,6.7,47,16,0,0,1.297
NA,1,-73.9619445800781,40.776008605957,-73.95166015625,40.7699699401856,7.8,14,5.59223300970874,25.6,76,12,0,0,1.133
NA,1,-73.9849166870117,40.7567100524902,-73.9423904418945,40.794563293457,18.5,23,17.6904176904177,6.7,47,16,0,0,1.297
NA,2,-73.9799728393555,40.7836265563965,-73.9669494628906,40.789234161377,7.8,16,12.3711340206186,23.9,84,11,0,0,1.133
NA,1,-73.9824905395508,40.7725028991699,-73.9875259399414,40.7286758422852,17.8,18,10.3235294117647,7.2,56,16,0,0,1.297
NA,1,-73.9913787841797,40.760009765625,-73.953742980957,40.6741485595703,39.8,19,17.4708520179372,8,93,4,0,0,1.167
NA,1,-73.9763793945313,40.7506370544434,-73.9992370605469,40.7416801452637,9.8,19,13.8970588235294,2.8,48,16,0,0,1.284
NA,2,-73.9449234008789,40.7748336791992,-73.9806976318359,40.7510185241699,20.76,14,13.2739987285442,22.2,61,16,0,0,1.264
NA,2,-74.0097579956055,40.7224884033203,-74.0055923461914,40.7154083251953,9.49,8,6.06479481641469,23.9,73,12,0,0,1.155
NA,1,-73.9910583496094,40.7278861999512,-73.9479446411133,40.7846183776856,20.8,23,16.0724876441516,6.7,47,16,0,0,1.297
